subtype,hemisphere,year,fitness,clade
H3N2,South,2022,-1.3713070783279155,3C.2a1b.2a.2d
H3N2,South,2022,-1.5443008238180267,3C.2a1b.2a.2
H3N2,South,2022,-1.6843973590349564,3C.2a1b.2a.1a
H3N2,South,2022,-1.7068593710775002,3C.2a1b.2a.1
H3N2,South,2022,-1.7599704756121672,3C.2a1b.2a.2a.2
H3N2,South,2022,-2.289611587707233,3C.2a1b.2a.2a
H3N2,South,2022,-2.588442525716836,3C.2a1b.2a.2a.1
H3N2,South,2022,-2.9863669741864634,3C.2a1b.2a.2c
H3N2,South,2022,-3.681912707843291,3C.2a1b.1a
H3N2,South,2022,-4.257817013166269,3C.2a1b.1b
