subtype,hemisphere,year,fitness,clade
H3N2,South,2021,-1.255164451861539,3C.3a1
H3N2,South,2021,-1.652593100176786,3C.2a1b.1a
H3N2,South,2021,-2.1464353536353222,3C.2a1b.2b
H3N2,South,2021,-2.325588092922982,3C.2a1b.1b
H3N2,South,2021,-3.365379967752048,3C.2a3
H3N2,South,2021,-4.404831910750085,3C.2a1b.2
H3N2,South,2021,-4.570395876826041,3C.2a1b.1
H3N2,South,2021,-4.739949866283941,3C.2a1b.2a.1
H3N2,South,2021,-4.740905330311572,3C.2a1b.2a
H3N2,South,2021,-5.767058275428232,3C.2a
H3N2,South,2021,-5.819441329570159,3C.3a
